Date,Value
2020-12-31,2940.194
2019-12-31,2801.752
2018-12-31,2690.483
2017-12-31,2586.568
2016-12-31,2488.378
2015-12-31,2422.649
2014-12-31,2833.687
2013-12-31,2811.128
2012-12-31,2682.901
2011-12-31,2865.304
2010-12-31,2651.772
2009-12-31,2700.658
2008-12-31,2937.321
2007-12-31,2666.805
2006-12-31,2327.052
2005-12-31,2207.45
2004-12-31,2126.995
2003-12-31,1851.66
2002-12-31,1505.649
2001-12-31,1383.406
2000-12-31,1372.452
1999-12-31,1502.245
1998-12-31,1512.957
1997-12-31,1462.606
1996-12-31,1614.708
1995-12-31,1611.198
1994-12-31,1404.479
1993-12-31,1331.659
1992-12-31,1412.1
1991-12-31,1280.302
1990-12-31,1278.666
1989-12-31,1031.314
1988-12-31,1025.679
1987-12-31,939.453
1986-12-31,776.121
1985-12-31,559.846
1984-12-31,534.333
1983-12-31,564.582
1982-12-31,590.127
1981-12-31,621.172
1980-12-31,704.515
